CODACT;LIBACT;TYPE;Libellé TYPE (local);Libellé activité niveau 3 (220 postes);Libellé activité niveau 2 (47 postes);Libellé activité niveau 1 (18 postes);Libellé activité niveau 0 (13 postes);Libellé activité niveau -1 (6 postes)
CI102;Hôtel de tourisme avec 1 étoile;C;Commerce;Hôtel de tourisme avec 1 étoile;Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI103;Hôtel de tourisme avec 2 étoiles;C;Commerce;Hôtel de tourisme avec 2 étoiles;Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI104;Hôtel de tourisme avec 3 étoiles;C;Commerce;Hôtel de tourisme avec 3 étoiles;Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI105;Hôtel de tourisme avec 4 étoiles;C;Commerce;Hôtel de tourisme avec 4 étoiles;Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI106;Hôtel de tourisme avec 5 étoiles;C;Commerce;Hôtel de tourisme avec 5 étoiles;Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI107;Hôtel de tourisme - Palace;C;Commerce;Hôtel de tourisme - Palace;Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI108;Location d'appartements (Appart Hotel, Citadines…);C;Commerce;Location d'appartements (Appart Hotel, Citadines…);Hôtels de Tourisme;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI201;Hôtel de préfecture;C;Commerce;Hôtel de préfecture;Hôtels de Préfecture;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
CI301;Auberge de jeunesse;C;Commerce;Auberge de jeunesse;Auberges de jeunesse;Hôtels et Auberges de jeunesse;Hôtels;Restauration, Hôtellerie
AA101;Locaux Vacants;V;Vide;Locaux Vacants;Locaux vacants;Locaux vacants;Locaux vacants;Locaux vacants
AA102;Locaux en travaux;V;Vide;Locaux en travaux;Locaux vacants;Locaux vacants;Locaux vacants;Locaux vacants
AB101;Commerce de gros alimentaire;T;Gros;Commerce de gros alimentaire;Commerces de gros;Commerces de gros;Autres locaux;Commerces de gros, Autres locaux en boutique
AB102;Commerce de gros fabrication textile;T;Gros;Commerce de gros fabrication textile;Commerces de gros;Commerces de gros;Autres locaux;Commerces de gros, Autres locaux en boutique
AB103;Commerce de gros fabrication habillement;T;Gros;Commerce de gros fabrication habillement;Commerces de gros;Commerces de gros;Autres locaux;Commerces de gros, Autres locaux en boutique
AB104;Commerce de gros maroquinerie et chaussures;T;Gros;Commerce de gros maroquinerie et chaussures;Commerces de gros;Commerces de gros;Autres locaux;Commerces de gros, Autres locaux en boutique
AB105;Commerce de gros bijouterie;T;Gros;Commerce de gros bijouterie;Commerces de gros;Commerces de gros;Autres locaux;Commerces de gros, Autres locaux en boutique
AB106;Autre commerce de gros;T;Gros;Autre commerce de gros;Commerces de gros;Commerces de gros;Autres locaux;Commerces de gros, Autres locaux en boutique
AC101;Imprimerie;X;Services aux entreprises;Imprimerie;Services aux entreprises;Services aux entreprises;Autres locaux;Commerces de gros, Autres locaux en boutique
AC102;Services annexes aux entreprises;X;Services aux entreprises;Services annexes aux entreprises;Services aux entreprises;Services aux entreprises;Autres locaux;Commerces de gros, Autres locaux en boutique
AC103;Studio de reportages photographiques;X;Services aux entreprises;Studio de reportages photographiques;Services aux entreprises;Services aux entreprises;Autres locaux;Commerces de gros, Autres locaux en boutique
AD101;Cabinet médical;Y;Activité médicale et paramédicale en RdC;Cabinet médical;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD102;Centre de radiologie;Y;Activité médicale et paramédicale en RdC;Centre de radiologie;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD103;Cabinet dentaire;Y;Activité médicale et paramédicale en RdC;Cabinet dentaire;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD104;Cabinet de kinésithérapeute;Y;Activité médicale et paramédicale en RdC;Cabinet de kinésithérapeute;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD105;Cabinet d'infirmière;Y;Activité médicale et paramédicale en RdC;Cabinet d'infirmière;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD106;Autre activité d'auxiliaire médical - Orthophoniste;Y;Activité médicale et paramédicale en RdC;Autre activité d'auxiliaire médical - Orthophoniste;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD107;Ambulances;Y;Activité médicale et paramédicale en RdC;Ambulances;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD108;Laboratoire d'analyses médicales;Y;Activité médicale et paramédicale en RdC;Laboratoire d'analyses médicales;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AD109;Vétérinaire;Y;Activité médicale et paramédicale en RdC;Vétérinaire;Médical;Médical;Autres locaux;Commerces de gros, Autres locaux en boutique
AE101;Théâtre;Z;salle de spectacle;Théâtre;Spectacles;Spectacles;Autres locaux;Commerces de gros, Autres locaux en boutique
AE102;Salle de concert;Z;salle de spectacle;Salle de concert;Spectacles;Spectacles;Autres locaux;Commerces de gros, Autres locaux en boutique
AE103;Autre lieu de spectacle;Z;salle de spectacle;Autre lieu de spectacle;Spectacles;Spectacles;Autres locaux;Commerces de gros, Autres locaux en boutique
AF101;Atelier en boutique;A;Atelier;Atelier en boutique;Autres;Autres locaux en boutique;Autres locaux;Commerces de gros, Autres locaux en boutique
AF102;Bureau en boutique;B;Bureau;Bureau en boutique;Autres;Autres locaux en boutique;Autres locaux;Commerces de gros, Autres locaux en boutique
AF103;Equipement en boutique;E;Equipement;Equipement en boutique;Autres;Autres locaux en boutique;Autres locaux;Commerces de gros, Autres locaux en boutique
AF104;Stockage en boutique;S;Stockage;Stockage en boutique;Autres;Autres locaux en boutique;Autres locaux;Commerces de gros, Autres locaux en boutique
